description,code,style,topic,keywords
"напиши программу которая выводит простое меню из двух пунктов без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Меню:\\n\";\n std::cout << \"1. Старт\\n\";\n std::cout << \"2. Выход\\n\";\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl,newline"
#
"создай программу которая выводит два разных сообщения на разных строках","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << \"Первая строка\" << endl;\n cout << \"Вторая строка\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cout,endl"
"создай программу которая выводит два разных сообщения на разных строках без using namespace std","#include <iostream>\n\nint main() {\n std::cout << \"Первая строка\" << std::endl;\n std::cout << \"Вторая строка\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cout,std::endl"
#
"напиши программу которая находит ASCII код вводимого символа","#include <iostream>\nusing namespace std;\n\nint main() {\n char ch;\n cout << "Введите символ: ";\n cin >> ch;\n cout << "ASCII код: " << int(ch) << endl;\n return 0;\n}","using_namespace_std","basic_io","char,cin,cout,int,type_conversion,endl"
"напиши программу которая находит ASCII код вводимого символа без using namespace std","#include <iostream>\n\nint main() {\n char ch;\n std::cout << "Введите символ: ";\n std::cin >> ch;\n std::cout << "ASCII код: " << int(ch) << std::endl;\n return 0;\n}","explicit_std","basic_io","char,std::cin,std::cout,int,type_conversion,std::endl"
#
"создай программу которая выводит символ по его ASCII коду","#include <iostream>\nusing namespace std;\n\nint main() {\n int code;\n cout << "Введите ASCII код: ";\n cin >> code;\n cout << "Символ: " << char(code) << endl;\n return 0;\n}","using_namespace_std","basic_io","char,cin,cout,int,type_conversion,endl"
"создай программу которая выводит символ по его ASCII коду без using namespace std","#include <iostream>\n\nint main() {\n int code;\n std::cout << "Введите ASCII код: ";\n std::cin >> code;\n std::cout << "Символ: " << char(code) << std::endl;\n return 0;\n}","explicit_std","basic_io","char,std::cin,std::cout,int,type_conversion,std::endl"
#
"реализуй программу которая считывает и выводит дробное число","#include <iostream>\nusing namespace std;\n\nint main() {\n float num;\n cout << \"Введите дробное число: \";\n cin >> num;\n cout << \"Вы ввели: \" << num << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,float,endl"
"реализуй программу которая считывает и выводит дробное число без using namespace std","#include <iostream>\n\nint main() {\n float num;\n std::cout << \"Введите дробное число: \";\n std::cin >> num;\n std::cout << \"Вы ввели: \" << num << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,float,std::endl"
#
"программа которая выводит введенный символ, окруженный скобками","#include <iostream>\nusing namespace std;\n\nint main() {\n char symbol;\n cout << \"Введите символ: \";\n cin >> symbol;\n cout << \"[\" << symbol << \"]\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,char,endl"
"программа которая выводит введенный символ, окруженный скобками без using namespace std","#include <iostream>\n\nint main() {\n char symbol;\n std::cout << \"Введите символ: \";\n std::cin >> symbol;\n std::cout << \"[\" << symbol << \"]\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,char,std::endl"
#
"создай программу которая спрашивает и выводит возраст пользователя","#include <iostream>\nusing namespace std;\n\nint main() {\n int age;\n cout << \"Сколько тебе лет? \";\n cin >> age;\n cout << \"Тебе \" << age << \" лет.\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"создай программу которая спрашивает и выводит возраст пользователя без using namespace std","#include <iostream>\n\nint main() {\n int age;\n std::cout << \"Сколько тебе лет? \";\n std::cin >> age;\n std::cout << \"Тебе \" << age << \" лет.\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"реализуй программу которая выводит число, введенное пользователем, с восклицательным знаком","#include <iostream>\nusing namespace std;\n\nint main() {\n int num;\n cout << \"Введи число: \";\n cin >> num;\n cout << num << \"!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"реализуй программу которая выводит число, введенное пользователем, с восклицательным знаком без using namespace std","#include <iostream>\n\nint main() {\n int num;\n std::cout << \"Введи число: \";\n std::cin >> num;\n std::cout << num << \"!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"программа которая считывает и выводит номер месяца","#include <iostream>\nusing namespace std;\n\nint main() {\n int month;\n cout << \"Введите номер месяца (1-12): \";\n cin >> month;\n cout << \"Вы ввели месяц номер \" << month << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"программа которая считывает и выводит номер месяца без using namespace std","#include <iostream>\n\nint main() {\n int month;\n std::cout << \"Введите номер месяца (1-12): \";\n std::cin >> month;\n std::cout << \"Вы ввели месяц номер \" << month << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"напиши программу которая считывает и выводит слово 'Result:' и введенное число","#include <iostream>\nusing namespace std;\n\nint main() {\n int value;\n cout << \"Введите число: \";\n cin >> value;\n cout << \"Result: \" << value << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"напиши программу которая считывает и выводит слово 'Result:' и введенное число без using namespace std","#include <iostream>\n\nint main() {\n int value;\n std::cout << \"Введите число: \";\n std::cin >> value;\n std::cout << \"Result: \" << value << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"программа которая запрашивает и выводит номер дня недели (1-7)","#include <iostream>\nusing namespace std;\n\nint main() {\n int day;\n cout << \"Введите номер дня недели (1-7): \";\n cin >> day;\n cout << \"День недели номер \" << day << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"программа которая запрашивает и выводит номер дня недели (1-7) без using namespace std","#include <iostream>\n\nint main() {\n int day;\n std::cout << \"Введите номер дня недели (1-7): \";\n std::cin >> day;\n std::cout << \"День недели номер \" << day << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"напиши программу которая выводит введенное пользователем целое число","#include <iostream>\nusing namespace std;\n\nint main() {\n int number;\n cout << \"Введите любое число: \";\n cin >> number;\n cout << \"Вы ввели число: \" << number << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl"
"напиши программу которая выводит введенное пользователем целое число без using namespace std","#include <iostream>\n\nint main() {\n int number;\n std::cout << \"Введите любое число: \";\n std::cin >> number;\n std::cout << \"Вы ввели число: \" << number << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl"
#
"напиши программу которая выводит приветствие с вводимым именем","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string name;\n cout << "Введите ваше имя: ";\n cin >> name;\n cout << "Привет, " << name << "!" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"напиши программу которая выводит приветствие с вводимым именем без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string name;\n std::cout << "Введите ваше имя: ";\n std::cin >> name;\n std::cout << "Привет, " << name << "!" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#
"программа которая считывает и выводит символ, введенный пользователем","#include <iostream>\nusing namespace std;\n\nint main() {\n char symbol;\n cout << \"Введите один символ: \";\n cin >> symbol;\n cout << \"Вы ввели символ: \" << symbol << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,char,endl"
"программа которая считывает и выводит символ, введенный пользователем без using namespace std","#include <iostream>\n\nint main() {\n char symbol;\n std::cout << \"Введите один символ: \";\n std::cin >> symbol;\n std::cout << \"Вы ввели символ: \" << symbol << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,char,std::endl"
#
"программа которая выводит количество символов во введенном слове","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string word;\n cout << \"Введите слово: \";\n cin >> word;\n cout << \"Длина слова: \" << word.size() << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,size,endl"
"программа которая выводит количество символов во введенном слове без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string word;\n std::cout << \"Введите слово: \";\n std::cin >> word;\n std::cout << \"Длина слова: \" << word.size() << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,size,std::endl"
#
"напиши программу которая выводит ASCII код введенного символа и сам символ","#include <iostream>\nusing namespace std;\n\nint main() {\n char ch;\n cout << \"Введите символ: \";\n cin >> ch;\n cout << \"Символ '\" << ch << \"' имеет код \" << int(ch) << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,char,int,endl,type_conversion"
"напиши программу которая выводит ASCII код введенного символа и сам символ без using namespace std","#include <iostream>\n\nint main() {\n char ch;\n std::cout << \"Введите символ: \";\n std::cin >> ch;\n std::cout << \"Символ '\" << ch << \"' имеет код \" << int(ch) << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,char,int,std::endl,type_conversion"
#
"реализуй программу которая просит пользователя ввести букву и выводит ее","#include <iostream>\nusing namespace std;\n\nint main() {\n char letter;\n cout << \"Введите любую букву: \";\n cin >> letter;\n cout << \"Вы ввели букву '\" << letter << \"'\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,char,endl"
"реализуй программу которая просит пользователя ввести букву и выводит ее без using namespace std","#include <iostream>\n\nint main() {\n char letter;\n std::cout << \"Введите любую букву: \";\n std::cin >> letter;\n std::cout << \"Вы ввели букву '\" << letter << \"'\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,char,std::endl"
#
"напиши программу которая выводит введенную строку три раза подряд","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string text;\n cout << \"Введите слово: \";\n cin >> text;\n cout << text << \" \" << text << \" \" << text << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl,concatenation"
"напиши программу которая выводит введенную строку три раза подряд без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string text;\n std::cout << \"Введите слово: \";\n std::cin >> text;\n std::cout << text << \" \" << text << \" \" << text << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl,concatenation"
#
"программа которая считывает два числа и выводит их в том же порядке, но разделенные табуляцией","#include <iostream>\nusing namespace std;\n\nint main() {\n int a, b;\n cout << \"Введите два числа через пробел: \";\n cin >> a >> b;\n cout << a << '\\t' << b << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl,tab,stream_extraction"
"программа которая считывает два числа и выводит их в том же порядке, но разделенные табуляцией без using namespace std","#include <iostream>\n\nint main() {\n int a, b;\n std::cout << \"Введите два числа через пробел: \";\n std::cin >> a >> b;\n std::cout << a << '\\t' << b << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl,tab,stream_extraction"
#
"программа которая выводит введенную пользователем фразу дословно","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string phrase;\n cout << \"Напиши любую фразу: \";\n getline(cin, phrase);\n cout << \"Твоя фраза: \" << phrase << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,endl"
"программа которая выводит введенную пользователем фразу дословно без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string phrase;\n std::cout << \"Напиши любую фразу: \";\n std::getline(std::cin, phrase);\n std::cout << \"Твоя фраза: \" << phrase << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,std::endl"
#
"напиши программу которая приветствует пользователя по имени, введенному с клавиатуры","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string name;\n cout << \"Как тебя зовут? \";\n cin >> name;\n cout << \"Привет, \" << name << \"!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"напиши программу которая приветствует пользователя по имени, введенному с клавиатуры без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string name;\n std::cout << \"Как тебя зовут? \";\n std::cin >> name;\n std::cout << \"Привет, \" << name << \"!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#
"напиши программу которая считывает и выводит два числа, введенные через пробел","#include <iostream>\nusing namespace std;\n\nint main() {\n int x, y;\n cout << \"Введите два числа через пробел: \";\n cin >> x >> y;\n cout << \"Первое: \" << x << \" Второе: \" << y << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,int,endl,stream_extraction"
"напиши программу которая считывает и выводит два числа, введенные через пробел без using namespace std","#include <iostream>\n\nint main() {\n int x, y;\n std::cout << \"Введите два числа через пробел: \";\n std::cin >> x >> y;\n std::cout << \"Первое: \" << x << \" Второе: \" << y << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,int,std::endl,stream_extraction"
#
"реализуй программу которая считывает и выводит первое слово из введенного предложения","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string word;\n cout << \"Напиши предложение: \";\n cin >> word;\n cout << \"Первое слово: \" << word << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl,stream_extraction"
"реализуй программу которая считывает и выводит первое слово из введенного предложения без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string word;\n std::cout << \"Напиши предложение: \";\n std::cin >> word;\n std::cout << \"Первое слово: \" << word << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl,stream_extraction"
#
"программа которая выводит введенную строку, но каждый символ повторяется дважды","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string text;\n cout << \"Введите строку: \";\n getline(cin, text);\n for(char c : text) cout << c << c;\n cout << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,range_for,endl"
"программа которая выводит введенную строку, но каждый символ повторяется дважды без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string text;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, text);\n for(char c : text) std::cout << c << c;\n std::cout << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,range_for,std::endl"
#
"программа которая выводит введенную строку, окруженную тремя звездочками с каждой стороны","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string str;\n cout << \"Введите строку: \";\n getline(cin, str);\n cout << \"***\" << str << \"***\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,endl,concatenation"
"программа которая выводит введенную строку, окруженную тремя звездочками с каждой стороны без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string str;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, str);\n std::cout << \"***\" << str << \"***\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,std::endl,concatenation"
#
"создай программу которая запрашивает и выводит название города","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string city;\n cout << \"В каком городе ты живешь? \";\n getline(cin, city);\n cout << \"Классно! \" << city << \" - отличный город!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,endl"
"создай программу которая запрашивает и выводит название города без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string city;\n std::cout << \"В каком городе ты живешь? \";\n std::getline(std::cin, city);\n std::cout << \"Классно! \" << city << \" - отличный город!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,std::endl"
#
"реализуй программу которая выводит введенное слово заглавными буквами","#include <iostream>\n#include <string>\n#include <cctype>\nusing namespace std;\n\nint main() {\n string word;\n cout << \"Введите слово: \";\n cin >> word;\n for(char &c : word) c = toupper(c);\n cout << word << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,cctype,toupper,range_for,endl"
"реализуй программу которая выводит введенное слово заглавными буквами без using namespace std","#include <iostream>\n#include <string>\n#include <cctype>\n\nint main() {\n std::string word;\n std::cout << \"Введите слово: \";\n std::cin >> word;\n for(char &c : word) c = std::toupper(c);\n std::cout << word << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,cctype,std::toupper,range_for,std::endl"
#
"реализуй программу которая выводит введенное слово, а затем это же слово в кавычках","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string word;\n cout << \"Введите слово: \";\n cin >> word;\n cout << word << \" - это '\" << word << \"' в кавычках\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"реализуй программу которая выводит введенное слово, а затем это же слово в кавычках без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string word;\n std::cout << \"Введите слово: \";\n std::cin >> word;\n std::cout << word << \" - это '\" << word << \"' в кавычках\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#
"реализуй программу которая считывает и выводит любимый цвет пользователя","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string color;\n cout << \"Какой твой любимый цвет? \";\n cin >> color;\n cout << \"Цвет \" << color << \" - это отличный выбор!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"реализуй программу которая считывает и выводит любимый цвет пользователя без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string color;\n std::cout << \"Какой твой любимый цвет? \";\n std::cin >> color;\n std::cout << \"Цвет \" << color << \" - это отличный выбор!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#
"напиши программу которая выводит введенную пользователем строку в двойных кавычках","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string user_input;\n cout << \"Введите строку: \";\n getline(cin, user_input);\n cout << '\\\"' << user_input << '\\\"' << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,endl,escape_character"
"напиши программу которая выводит введенную пользователем строку в двойных кавычках без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string user_input;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, user_input);\n std::cout << '\\\"' << user_input << '\\\"' << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,std::endl,escape_character"
#
"напиши программу которая вычисляет комплексное сопряжение","#include <iostream>\nusing namespace std;\n\nint main() {\n    double real, imag;\n    cout << \"Введите комплексное число: \";\n    cin >> real >> imag;\n    cout << \"Сопряженное: \" << real << \" - \" << imag << \"i\" << endl;\n    return 0;\n}","using_namespace_std","basic_io","cin,cout,double,endl"
"напиши программу которая вычисляет комплексное сопряжение без using namespace std","#include <iostream>\n\nint main() {\n    double real, imag;\n    std::cout << \"Введите комплексное число: \";\n    std::cin >> real >> imag;\n    std::cout << \"Сопряженное: \" << real << \" - \" << imag << \"i\" << std::endl;\n    return 0;\n}","explicit_std","basic_io","std::cin,std::cout,double,std::endl"
#
"программа которая выводит имя и фамилию, введенные в одной строке","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string first, last;\n cout << \"Введите имя и фамилию: \";\n cin >> first >> last;\n cout << \"Имя: \" << first << \" Фамилия: \" << last << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl,stream_extraction"
"программа которая выводит имя и фамилию, введенные в одной строке без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string first, last;\n std::cout << \"Введите имя и фамилию: \";\n std::cin >> first >> last;\n std::cout << \"Имя: \" << first << \" Фамилия: \" << last << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl,stream_extraction"
#
"напиши программу которая запрашивает и выводит любимое животное пользователя","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string animal;\n cout << \"Какое твое любимое животное? \";\n cin >> animal;\n cout << \"Мне тоже нравятся \" << animal << \"!\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,endl"
"напиши программу которая запрашивает и выводит любимое животное пользователя без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string animal;\n std::cout << \"Какое твое любимое животное? \";\n std::cin >> animal;\n std::cout << \"Мне тоже нравятся \" << animal << \"!\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::endl"
#
"напиши программу которая проверяет, является ли введенный символ цифрой","#include <iostream>\n#include <cctype>\nusing namespace std;\n\nint main() {\n char ch;\n cout << \"Введите символ: \";\n cin >> ch;\n if(isdigit(ch)) cout << \"Это цифра\" << endl;\n else cout << \"Это не цифра\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,char,cctype,isdigit,endl,conditional"
"напиши программу которая проверяет, является ли введенный символ цифрой без using namespace std","#include <iostream>\n#include <cctype>\n\nint main() {\n char ch;\n std::cout << \"Введите символ: \";\n std::cin >> ch;\n if(std::isdigit(ch)) std::cout << \"Это цифра\" << std::endl;\n else std::cout << \"Это не цифра\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,char,cctype,std::isdigit,std::endl,conditional"
#
"создай программу которая выводит введенную строку в обратном порядке символов","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string str;\n cout << \"Введите строку: \";\n getline(cin, str);\n for(int i = str.length()-1; i >=0; i--) cout << str[i];\n cout << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,length,endl,for_loop"
"создай программу которая выводит введенную строку в обратном порядке символов без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string str;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, str);\n for(int i = str.length()-1; i >=0; i--) std::cout << str[i];\n std::cout << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,length,std::endl,for_loop"
#
"программа которая выводит все символы введенной строки в столбик с их ASCII кодами","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string text;\n cout << \"Введите строку: \";\n getline(cin, text);\n for(char c : text) {\n cout << c << \" - \" << int(c) << endl;\n }\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,range_for,type_conversion,endl"
"программа которая выводит все символы введенной строки в столбик с их ASCII кодами без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string text;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, text);\n for(char c : text) {\n std::cout << c << \" - \" << int(c) << std::endl;\n }\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,range_for,type_conversion,std::endl"
#
"напиши программу которая выводит размер (длину) введенной пользователем строки","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string input;\n cout << \"Введите строку: \";\n getline(cin, input);\n cout << \"Длина строки: \" << input.size() << \" символов\" << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,size,endl"
"напиши программу которая выводит размер (длину) введенной пользователем строки без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string input;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, input);\n std::cout << \"Длина строки: \" << input.size() << \" символов\" << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,size,std::endl"
#
"программа которая выводит введенное слово с восклицательными знаками вместо букв 'а'","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string word;\n cout << \"Введите слово: \";\n cin >> word;\n for(char &c : word) if(c == 'a' || c == 'а') c = '!';\n cout << word << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,range_for,conditional,replacement,endl"
"программа которая выводит введенное слово с восклицательными знаками вместо букв 'а' без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string word;\n std::cout << \"Введите слово: \";\n std::cin >> word;\n for(char &c : word) if(c == 'a' || c == 'а') c = '!';\n std::cout << word << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,range_for,conditional,replacement,std::endl"
#
"реализуй программу которая выводит введенную строку, заменяя все пробелы на подчеркивания","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n string text;\n cout << \"Введите строку: \";\n getline(cin, text);\n for(char &c : text) if(c == ' ') c = '_';\n cout << text << endl;\n return 0;\n}","using_namespace_std","basic_io","cin,cout,string,getline,range_for,endl,replacement"
"реализуй программу которая выводит введенную строку, заменяя все пробелы на подчеркивания без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n std::string text;\n std::cout << \"Введите строку: \";\n std::getline(std::cin, text);\n for(char &c : text) if(c == ' ') c = '_';\n std::cout << text << std::endl;\n return 0;\n}","explicit_std","basic_io","std::cin,std::cout,std::string,std::getline,range_for,std::endl,replacement"
#
