description,code,style,topic,keywords
"напиши программу которая вычисляет комплексное сопряжение","#include <iostream>\nusing namespace std;\n\nint main() {\n    double real, imag;\n    cout << \"Введите комплексное число: \";\n    cin >> real >> imag;\n    cout << \"Сопряженное: \" << real << \" - \" << imag << \"i\" << endl;\n    return 0;\n}","using_namespace_std","basic_io","cin,cout,double,endl"
"напиши программу которая вычисляет комплексное сопряжение без using namespace std","#include <iostream>\n\nint main() {\n    double real, imag;\n    std::cout << \"Введите комплексное число: \";\n    std::cin >> real >> imag;\n    std::cout << \"Сопряженное: \" << real << \" - \" << imag << \"i\" << std::endl;\n    return 0;\n}","explicit_std","basic_io","std::cin,std::cout,double,std::endl"
#---



# ----------------------------------------------------------------------------------------------------------------------------------------
#       - работа с переменными                  variables_operations                                            (2%) ~100 строк         13
# ----------------------------------------------------------------------------------------------------------------------------------------
#---
"напиши программу которая выводит следующую букву в алфавите после вводимой буквы","#include <iostream>\nusing namespace std;\n\nint main() {\n char ch;\n cout << "Введите букву алфавита: ";\n cin >> ch;\n cout << "Следующая буква: " << char(ch + 1) << endl;\n return 0;\n}","using_namespace_std","variables_operations","char,cin,cout,arithmetic_plus,type_conversion,endl"
"напиши программу которая выводит следующую букву в алфавите после вводимой буквы без using namespace std","#include <iostream>\n\nint main() {\n char ch;\n std::cout << "Введите букву алфавита: ";\n std::cin >> ch;\n std::cout << "Следующая буква: " << char(ch + 1) << std::endl;\n return 0;\n}","explicit_std","variables_operations","char,std::cin,std::cout,arithmetic_plus,type_conversion,std::endl"
#---
"напиши программу которая увеличивает вводимое число на 1","#include <iostream>\nusing namespace std;\n\nint main() {\n int num;\n cout << "Введите число: ";\n cin >> num;\n num++;\n cout << "Результат: " << num << endl;\n return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,increment,endl"
"напиши программу которая увеличивает вводимое число на 1 без using namespace std","#include <iostream>\n\nint main() {\n int num;\n std::cout << "Введите число: ";\n std::cin >> num;\n num++;\n std::cout << "Результат: " << num << std::endl;\n return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,int,increment,std::endl"
#---
"создай программу которая уменьшает вводимое число на 1","#include <iostream>\nusing namespace std;\n\nint main() {\n int num;\n cout << "Введите число: ";\n cin >> num;\n num--;\n cout << "Результат: " << num << endl;\n return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,decrement,endl"
"создай программу которая уменьшает вводимое число на 1 без using namespace std","#include <iostream>\n\nint main() {\n int num;\n std::cout << "Введите число: ";\n std::cin >> num;\n num--;\n std::cout << "Результат: " << num << std::endl;\n return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,int,decrement,std::endl"
#---
"напиши программу которая демонстрирует побитовый сдвиг","#include <iostream>\nusing namespace std;\n\nint main() {\n int x = 8;\n cout << "8 << 1 = " << (x << 1) << endl;\n cout << "8 >> 1 = " << (x >> 1) << endl;\n return 0;\n}","using_namespace_std","variables_operations","int,cout,bit_shift_left,bit_shift_right,bit_operations,endl"
"напиши программу которая демонстрирует побитовый сдвиг без using namespace std","#include <iostream>\n\nint main() {\n int x = 8;\n std::cout << "8 << 1 = " << (x << 1) << std::endl;\n std::cout << "8 >> 1 = " << (x >> 1) << std::endl;\n return 0;\n}","explicit_std","variables_operations","int,std::cout,bit_shift_left,bit_shift_right,bit_operations,std::endl"
#---
"создай программу которая использует макрос","#include <iostream>\n#define SQUARE(x) ((x) * (x))\nusing namespace std;\n\nint main() {\n cout << "Квадрат 5: " << SQUARE(5) << endl;\n return 0;\n}","using_namespace_std","variables_operations","macro,SQUARE,define,preprocessor_directive,int,cout,endl"
"создай программу которая использует макрос без using namespace std","#include <iostream>\n#define SQUARE(x) ((x) * (x))\n\nint main() {\n std::cout << "Квадрат 5: " << SQUARE(5) << std::endl;\n return 0;\n}","explicit_std","variables_operations","macro,SQUARE,define,preprocessor_directive,int,std::cout,std::endl"
#---
"создай программу которая использует анонимный namespace","#include <iostream>\nusing namespace std;\n\nnamespace {\n int hidden = 42;\n}\n\nint main() {\n cout << "Скрытая переменная: " << hidden << endl;\n return 0;\n}","using_namespace_std","variables_operations","anonymous_namespace,namespace,internal_linkage,int,cout,endl"
"создай программу которая использует анонимный namespace без using namespace std","#include <iostream>\n\nnamespace {\n int hidden = 42;\n}\n\nint main() {\n std::cout << "Скрытая переменная: " << hidden << std::endl;\n return 0;\n}","explicit_std","variables_operations","anonymous_namespace,namespace,internal_linkage,int,std::cout,std::endl"
#---
"создай программу которая вычисляет НОК (наименьшее общее кратное) двух вводимых чисел","#include <iostream>\nusing namespace std;\n\nint main() {\n int a, b;\n cout << "Введите два числа: ";\n cin >> a >> b;\n int product = a * b;\n while(b != 0) {\n int temp = b;\n b = a % b;\n a = temp;\n }\n cout << "НОК: " << product / a << endl;\n return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,while,modulus,LCM,Euclidean_algorithm,math,endl"
"создай программу которая вычисляет НОК (наименьшее общее кратное) двух вводимых чисел без using namespace std","#include <iostream>\n\nint main() {\n int a, b;\n std::cout << "Введите два числа: ";\n std::cin >> a >> b;\n int product = a * b;\n while(b != 0) {\n int temp = b;\n b = a % b;\n a = temp;\n }\n std::cout << "НОК: " << product / a << std::endl;\n return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,int,while,modulus,LCM,Euclidean_algorithm,math,std::endl"
#---
"создай программу которая проверяет является ли число степенью двойки","#include <iostream>\nusing namespace std;\n\nint main() {\n int num;\n cout << "Введите число: ";\n cin >> num;\n bool isPower = (num > 0) && ((num & (num - 1)) == 0);\n cout << num << (isPower ? " - степень двойки" : " - не степень двойки") << endl;\n return 0;\n}","using_namespace_std","variables_operations","cin,cout,int,bool,bitwise_and,power_of_two,bit_operations,binary,conditional_check,endl"
"создай программу которая проверяет является ли число степенью двойки без using namespace std","#include <iostream>\n\nint main() {\n int num;\n std::cout << "Введите число: ";\n std::cin >> num;\n bool isPower = (num > 0) && ((num & (num - 1)) == 0);\n std::cout << num << (isPower ? " - степень двойки" : " - не степень двойки") << std::endl;\n return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,int,bool,bitwise_and,power_of_two,bit_operations,binary,conditional_check,std::endl"
#---
"реализуй программу для расчета коэффициента Сортино с вводом пользовательских данных","#include <iostream>\nusing namespace std;\n\nint main() {\n double portfolio_return, risk_free_rate, downside_volatility;\n cout << "Введите доходность портфеля, безрисковую ставку и downside волатильность: ";\n cin >> portfolio_return >> risk_free_rate >> downside_volatility;\n double sortino_ratio = (portfolio_return - risk_free_rate) / downside_volatility;\n cout << "Коэффициент Сортино: " << sortino_ratio << endl;\n return 0;\n}","using_namespace_std","variables_operations","cin,cout,double,arithmetic_minus,arithmetic_division,financial_ratio,Sortino_ratio,endl"
"реализуй программу для расчета коэффициента Сортино с вводом пользовательских данных без using namespace std","#include <iostream>\n\nint main() {\n double portfolio_return, risk_free_rate, downside_volatility;\n std::cout << "Введите доходность портфеля, безрисковую ставку и downside волатильность: ";\n std::cin >> portfolio_return >> risk_free_rate >> downside_volatility;\n double sortino_ratio = (portfolio_return - risk_free_rate) / downside_volatility;\n std::cout << "Коэффициент Сортино: " << sortino_ratio << std::endl;\n return 0;\n}","explicit_std","variables_operations","std::cin,std::cout,double,arithmetic_minus,arithmetic_division,financial_ratio,Sortino_ratio,std::endl"
#---



# ----------------------------------------------------------------------------------------------------------------------------------------
#       - типы данных                           data_types                      int, double, char, bool         (2%) ~100 строк         01
# ----------------------------------------------------------------------------------------------------------------------------------------
#---
"напиши программу которая выводит размер типа int","#include <iostream>\nusing namespace std;\n\nint main() {\n cout << "Размер int: " << sizeof(int) << " байт" << endl;\n return 0;\n}","using_namespace_std","data_types","sizeof,cout,endl"
"напиши программу которая выводит размер типа int без using namespace std","#include <iostream>\n\nint main() {\n std::cout << "Размер int: " << sizeof(int) << " байт" << std::endl;\n return 0;\n}","explicit_std","data_types","sizeof,std::cout,std::endl"
#---
"напиши программу которая создает константу","#include <iostream>\nusing namespace std;\n\nint main() {\n const double PI = 3.14159;\n cout << "PI = " << PI << endl;\n return 0;\n}","using_namespace_std","data_types","const,double,variable_declaration,cout,endl"
"напиши программу которая создает константу без using namespace std","#include <iostream>\n\nint main() {\n const double PI = 3.14159;\n std::cout << "PI = " << PI << std::endl;\n return 0;\n}","explicit_std","data_types","const,double,variable_declaration,std::cout,std::endl"
#---
"создай программу которая использует typedef","#include <iostream>\nusing namespace std;\n\ntypedef unsigned long ulong;\n\nint main() {\n ulong bigNumber = 123456789;\n cout << "Большое число: " << bigNumber << endl;\n return 0;\n}","using_namespace_std","data_types","typedef,type_alias,unsigned_long,cout,endl"
"создай программу которая использует typedef без using namespace std","#include <iostream>\n\ntypedef unsigned long ulong;\n\nint main() {\n ulong bigNumber = 123456789;\n std::cout << "Большое число: " << bigNumber << std::endl;\n return 0;\n}","explicit_std","data_types","typedef,type_alias,unsigned_long,std::cout,std::endl"
#---
"напиши программу которая демонстрирует переполнение","#include <iostream>\nusing namespace std;\n\nint main() {\n int max_int = 2147483647;\n cout << "Максимальный int: " << max_int << endl;\n cout << "После инкремента: " << max_int + 1 << endl;\n return 0;\n}","using_namespace_std","data_types","int,overflow,integer_limits,cout,endl"
"напиши программу которая демонстрирует переполнение без using namespace std","#include <iostream>\n#include <climits>\n\nint main() {\n int max_int = INT_MAX;\n std::cout << "Максимальный int: " << max_int << std::endl;\n std::cout << "После инкремента: " << max_int + 1 << std::endl;\n return 0;\n}","explicit_std","data_types","int,overflow,integer_limits,climits,std::cout,std::endl"
#---
"создай программу которая использует статическую переменную","#include <iostream>\nusing namespace std;\n\nvoid counter() {\n static int count = 0;\n count++;\n cout << "Вызов: " << count << endl;\n}\n\nint main() {\n counter();\n counter();\n counter();\n return 0;\n}","using_namespace_std","data_types","static,int,function,cout,endl"
"создай программу которая использует статическую переменную без using namespace std","#include <iostream>\n\nvoid counter() {\n static int count = 0;\n count++;\n std::cout << "Вызов: " << count << std::endl;\n}\n\nint main() {\n counter();\n counter();\n counter();\n return 0;\n}","explicit_std","data_types","static,int,function,std::cout,std::endl"
#---
"напиши программу которая демонстрирует область видимости","#include <iostream>\nusing namespace std;\n\nint main() {\n int x = 5;\n {\n int x = 10;\n cout << "Внутренний x: " << x << endl;\n }\n cout << "Внешний x: " << x << endl;\n return 0;\n}","using_namespace_std","data_types","int,scope,block_scope,variable_shadowing,cout,endl"
"напиши программу которая демонстрирует область видимости без using namespace std","#include <iostream>\n\nint main() {\n int x = 5;\n {\n int x = 10;\n std::cout << "Внутренний x: " << x << std::endl;\n }\n std::cout << "Внешний x: " << x << std::endl;\n return 0;\n}","explicit_std","data_types","int,scope,block_scope,variable_shadowing,std::cout,std::endl"
#---
"напиши программу которая проверяет alignment переменной","#include <iostream>\nusing namespace std;\n\nint main() {\n int x;\n cout << "Alignment of int: " << alignof(int) << endl;\n return 0;\n}","using_namespace_std","data_types","alignof,alignment,memory_alignment,int,cout,endl"
"напиши программу которая проверяет alignment переменной без using namespace std","#include <iostream>\n\nint main() {\n int x;\n std::cout << "Alignment of int: " << alignof(int) << std::endl;\n return 0;\n}","explicit_std","data_types","alignof,alignment,memory_alignment,int,std::cout,std::endl"
#---
"напиши программу которая демонстрирует преобразование типов","#include <iostream>\nusing namespace std;\n\nint main() {\n double d = 3.14;\n int i = static_cast<int>(d);\n cout << "Преобразованное значение: " << i << endl;\n return 0;\n}","using_namespace_std","data_types","static_cast,type_conversion,double,int,cout,endl"
"напиши программу которая демонстрирует преобразование типов без using namespace std","#include <iostream>\n\nint main() {\n double d = 3.14;\n int i = static_cast<int>(d);\n std::cout << "Преобразованное значение: " << i << std::endl;\n return 0;\n}","explicit_std","data_types","static_cast,type_conversion,double,int,std::cout,std::endl"
#---
"напиши программу которая демонстрирует constexpr","#include <iostream>\nusing namespace std;\n\nconstexpr int square(int x) {\n return x * x;\n}\n\nint main() {\n constexpr int result = square(5);\n cout << "Результат: " << result << endl;\n return 0;\n}","using_namespace_std","data_types","constexpr,compile_time,constant_expression,function,cout,endl"
"напиши программу которая демонстрирует constexpr без using namespace std","#include <iostream>\n\nconstexpr int square(int x) {\n return x * x;\n}\n\nint main() {\n constexpr int result = square(5);\n std::cout << "Результат: " << result << std::endl;\n return 0;\n}","explicit_std","data_types","constexpr,compile_time,constant_expression,function,std::cout,std::endl"
#---
"создай программу которая использует decltype","#include <iostream>\nusing namespace std;\n\nint main() {\n int x = 5;\n decltype(x) y = 10;\n cout << "y = " << y << endl;\n return 0;\n}","using_namespace_std","data_types","decltype,type_inference,int,cout,endl"
"создай программу которая использует decltype без using namespace std","#include <iostream>\n\nint main() {\n int x = 5;\n decltype(x) y = 10;\n std::cout << "y = " << y << std::endl;\n return 0;\n}","explicit_std","data_types","decltype,type_inference,int,std::cout,std::endl"
#---
"создай программу которая использует nullptr","#include <iostream>\nusing namespace std;\n\nint main() {\n int* ptr = nullptr;\n cout << "Указатель: " << ptr << endl;\n return 0;\n}","using_namespace_std","data_types","nullptr,pointer,int,pointer_initialization,cout,endl"
"создай программу которая использует nullptr без using namespace std","#include <iostream>\n\nint main() {\n int* ptr = nullptr;\n std::cout << "Указатель: " << ptr << std::endl;\n return 0;\n}","explicit_std","data_types","nullptr,pointer,int,pointer_initialization,std::cout,std::endl"
#---
"создай программу которая использует initializer list","#include <iostream>\n#include <initializer_list>\nusing namespace std;\n\nint sum(initializer_list<int> nums) {\n int total = 0;\n for(int num : nums) total += num;\n return total;\n}\n\nint main() {\n cout << "Сумма: " << sum({1, 2, 3, 4, 5}) << endl;\n return 0;\n}","using_namespace_std","data_types","initializer_list,range_based_for,function,int,cout,endl"
"создай программу которая использует initializer list без using namespace std","#include <iostream>\n#include <initializer_list>\n\nint sum(std::initializer_list<int> nums) {\n int total = 0;\n for(int num : nums) total += num;\n return total;\n}\n\nint main() {\n std::cout << "Сумма: " << sum({1, 2, 3, 4, 5}) << std::endl;\n return 0;\n}","explicit_std","data_types","initializer_list,std::initializer_list,range_based_for,function,int,std::cout,std::endl"
#---
"напиши программу которая демонстрирует основные типы данных C++","#include <iostream>\n#include <string>\nusing namespace std;\n\nint main() {\n    // Целочисленные типы\n    int integer = 42;\n    short shortInt = 100;\n    long longInt = 100000L;\n    long long veryLong = 10000000000LL;\n    \n    // Вещественные типы\n    float floating = 3.14f;\n    double doublePrecision = 3.1415926535;\n    long double longDouble = 3.141592653589793238L;\n    \n    // Символьные типы\n    char character = 'A';\n    wchar_t wideChar = L'Б';\n    \n    // Логический тип\n    bool boolean = true;\n    \n    // Строка\n    string text = \"Hello C++\";\n    \n    cout << \"int: \" << integer << endl;\n    cout << \"short: \" << shortInt << endl;\n    cout << \"long: \" << longInt << endl;\n    cout << \"long long: \" << veryLong << endl;\n    cout << \"float: \" << floating << endl;\n    cout << \"double: \" << doublePrecision << endl;\n    cout << \"long double: \" << longDouble << endl;\n    cout << \"char: \" << character << endl;\n    cout << \"wchar_t: \" << wideChar << endl;\n    cout << \"bool: \" << boolalpha << boolean << endl;\n    cout << \"string: \" << text << endl;\n    \n    return 0;\n}","using_namespace_std","data_types","int,short,long,float,double,char,wchar_t,bool,string,cout,endl,boolalpha"
"напиши программу которая демонстрирует основные типы данных C++ без using namespace std","#include <iostream>\n#include <string>\n\nint main() {\n    // Целочисленные типы\n    int integer = 42;\n    short shortInt = 100;\n    long longInt = 100000L;\n    long long veryLong = 10000000000LL;\n    \n    // Вещественные типы\n    float floating = 3.14f;\n    double doublePrecision = 3.1415926535;\n    long double longDouble = 3.141592653589793238L;\n    \n    // Символьные типы\n    char character = 'A';\n    wchar_t wideChar = L'Б';\n    \n    // Логический тип\n    bool boolean = true;\n    \n    // Строка\n    std::string text = \"Hello C++\";\n    \n    std::cout << \"int: \" << integer << std::endl;\n    std::cout << \"short: \" << shortInt << std::endl;\n    std::cout << \"long: \" << longInt << std::endl;\n    std::cout << \"long long: \" << veryLong << std::endl;\n    std::cout << \"float: \" << floating << std::endl;\n    std::cout << \"double: \" << doublePrecision << std::endl;\n    std::cout << \"long double: \" << longDouble << std::endl;\n    std::cout << \"char: \" << character << std::endl;\n    std::cout << \"wchar_t: \" << wideChar << std::endl;\n    std::cout << \"bool: \" << std::boolalpha << boolean << std::endl;\n    std::cout << \"string: \" << text << std::endl;\n    \n    return 0;\n}","explicit_std","data_types","int,short,long,float,double,char,wchar_t,bool,std::string,std::cout,std::endl,std::boolalpha"
#---
"создай программу которая демонстрирует модификаторы типов","#include <iostream>\nusing namespace std;\n\nint main() {\n    // Беззнаковые типы\n    unsigned int positiveOnly = 4294967295U;\n    unsigned short ushort = 65535;\n    \n    // Знаковые типы\n    signed int signedInt = -2147483648;\n    \n    // Константы\n    const int CONSTANT = 100;\n    const double PI = 3.14159;\n    \n    // Volatile\n    volatile int sensorValue = 0;\n    \n    cout << \"unsigned int: \" << positiveOnly << endl;\n    cout << \"unsigned short: \" << ushort << endl;\n    cout << \"signed int: \" << signedInt << endl;\n    cout << \"const int: \" << CONSTANT << endl;\n    cout << \"const double: \" << PI << endl;\n    cout << \"volatile int: \" << sensorValue << endl;\n    \n    return 0;\n}","using_namespace_std","data_types","unsigned,signed,const,volatile,int,short,double,cout,endl"
"создай программу которая демонстрирует модификаторы типов без using namespace std","#include <iostream>\n\nint main() {\n    // Беззнаковые типы\n    unsigned int positiveOnly = 4294967295U;\n    unsigned short ushort = 65535;\n    \n    // Знаковые типы\n    signed int signedInt = -2147483648;\n    \n    // Константы\n    const int CONSTANT = 100;\n    const double PI = 3.14159;\n    \n    // Volatile\n    volatile int sensorValue = 0;\n    \n    std::cout << \"unsigned int: \" << positiveOnly << std::endl;\n    std::cout << \"unsigned short: \" << ushort << std::endl;\n    std::cout << \"signed int: \" << signedInt << std::endl;\n    std::cout << \"const int: \" << CONSTANT << std::endl;\n    std::cout << \"const double: \" << PI << std::endl;\n    std::cout << \"volatile int: \" << sensorValue << std::endl;\n    \n    return 0;\n}","explicit_std","data_types","unsigned,signed,const,volatile,int,short,double,std::cout,std::endl"
#---
"напиши программу которая демонстрирует тип данных size_t","#include <iostream>\n#include <vector>\nusing namespace std;\n\nint main() {\n    vector<int> vec = {1, 2, 3, 4, 5};\n    \n    size_t size = vec.size();\n    cout << \"Vector size: \" << size << endl;\n    \n    int arr[] = {10, 20, 30, 40, 50};\n    size_t arrSize = sizeof(arr) / sizeof(arr[0]);\n    cout << \"Array size: \" << arrSize << endl;\n    \n    // size_t для циклов\n    for (size_t i = 0; i < vec.size(); i++) {\n        cout << \"vec[\" << i << \"] = \" << vec[i] << endl;\n    }\n    \n    return 0;\n}","using_namespace_std","data_types","size_t,vector,size,sizeof,for_loop,cout,endl"
"напиши программу которая демонстрирует тип данных size_t без using namespace std","#include <iostream>\n#include <vector>\n\nint main() {\n    std::vector<int> vec = {1, 2, 3, 4, 5};\n    \n    size_t size = vec.size();\n    std::cout << \"Vector size: \" << size << std::endl;\n    \n    int arr[] = {10, 20, 30, 40, 50};\n    size_t arrSize = sizeof(arr) / sizeof(arr[0]);\n    std::cout << \"Array size: \" << arrSize << std::endl;\n    \n    // size_t для циклов\n    for (size_t i = 0; i < vec.size(); i++) {\n        std::cout << \"vec[\" << i << \"] = \" << vec[i] << std::endl;\n    }\n    \n    return 0;\n}","explicit_std","data_types","size_t,std::vector,size,sizeof,for_loop,std::cout,std::endl"
#---
"создай программу которая демонстрирует тип данных auto","#include <iostream>\n#include <vector>\n#include <map>\nusing namespace std;\n\nint main() {\n    auto number = 42;           // int\n    auto pi = 3.14159;         // double\n    auto name = \"Alice\";       // const char*\n    auto flag = true;           // bool\n    \n    vector<int> vec = {1, 2, 3, 4, 5};\n    auto it = vec.begin();      // vector<int>::iterator\n    \n    map<string, int> ages = {{\"Alice\", 25}, {\"Bob\", 30}};\n    auto pair = *ages.begin();  // pair<const string, int>\n    \n    cout << \"number: \" << number << \" (type: int)\" << endl;\n    cout << \"pi: \" << pi << \" (type: double)\" << endl;\n    cout << \"name: \" << name << \" (type: const char*)\" << endl;\n    cout << \"flag: \" << boolalpha << flag << \" (type: bool)\" << endl;\n    cout << \"first element: \" << *it << endl;\n    cout << \"map pair: \" << pair.first << \" -> \" << pair.second << endl;\n    \n    return 0;\n}","using_namespace_std","data_types","auto,vector,map,iterator,begin,pair,cout,endl,boolalpha"
"создай программу которая демонстрирует тип данных auto без using namespace std","#include <iostream>\n#include <vector>\n#include <map>\n\nint main() {\n    auto number = 42;           // int\n    auto pi = 3.14159;         // double\n    auto name = \"Alice\";       // const char*\n    auto flag = true;           // bool\n    \n    std::vector<int> vec = {1, 2, 3, 4, 5};\n    auto it = vec.begin();      // vector<int>::iterator\n    \n    std::map<std::string, int> ages = {{\"Alice\", 25}, {\"Bob\", 30}};\n    auto pair = *ages.begin();  // pair<const string, int>\n    \n    std::cout << \"number: \" << number << \" (type: int)\" << std::endl;\n    std::cout << \"pi: \" << pi << \" (type: double)\" << std::endl;\n    std::cout << \"name: \" << name << \" (type: const char*)\" << std::endl;\n    std::cout << \"flag: \" << std::boolalpha << flag << \" (type: bool)\" << std::endl;\n    std::cout << \"first element: \" << *it << std::endl;\n    std::cout << \"map pair: \" << pair.first << \" -> \" << pair.second << std::endl;\n    \n    return 0;\n}","explicit_std","data_types","auto,std::vector,std::map,iterator,begin,pair,std::cout,std::endl,std::boolalpha"
#---
"напиши программу которая демонстрирует decltype","#include <iostream>\n#include <vector>\nusing namespace std;\n\nint main() {\n    int x = 42;\n    double y = 3.14;\n    \n    decltype(x) a = 100;        // a имеет тип int\n    decltype(y) b = 2.71;       // b имеет тип double\n    decltype(x + y) c = x + y;  // c имеет тип double\n    \n    vector<int> vec = {1, 2, 3};\n    decltype(vec) anotherVec;   // anotherVec имеет тип vector<int>\n    decltype(vec[0]) element = vec[0]; // element имеет тип int&\n    \n    cout << \"a: \" << a << \" (type: int)\" << endl;\n    cout << \"b: \" << b << \" (type: double)\" << endl;\n    cout << \"c: \" << c << \" (type: double)\" << endl;\n    cout << \"element: \" << element << endl;\n    \n    return 0;\n}","using_namespace_std","data_types","decltype,vector,int,double,reference,cout,endl"
"напиши программу которая демонстрирует decltype без using namespace std","#include <iostream>\n#include <vector>\n\nint main() {\n    int x = 42;\n    double y = 3.14;\n    \n    decltype(x) a = 100;        // a имеет тип int\n    decltype(y) b = 2.71;       // b имеет тип double\n    decltype(x + y) c = x + y;  // c имеет тип double\n    \n    std::vector<int> vec = {1, 2, 3};\n    decltype(vec) anotherVec;   // anotherVec имеет тип vector<int>\n    decltype(vec[0]) element = vec[0]; // element имеет тип int&\n    \n    std::cout << \"a: \" << a << \" (type: int)\" << std::endl;\n    std::cout << \"b: \" << b << \" (type: double)\" << std::endl;\n    std::cout << \"c: \" << c << \" (type: double)\" << std::endl;\n    std::cout << \"element: \" << element << std::endl;\n    \n    return 0;\n}","explicit_std","data_types","decltype,std::vector,int,double,reference,std::cout,std::endl"
#---
"создай программу которая демонстрирует typeid","#include <iostream>\n#include <typeinfo>\nusing namespace std;\n\nint main() {\n    int integer = 42;\n    double floating = 3.14;\n    string text = \"Hello\";\n    \n    cout << \"Type of integer: \" << typeid(integer).name() << endl;\n    cout << \"Type of floating: \" << typeid(floating).name() << endl;\n    cout << \"Type of text: \" << typeid(text).name() << endl;\n    \n    // Сравнение типов\n    if (typeid(integer) == typeid(int)) {\n        cout << \"integer is of type int\" << endl;\n    }\n    \n    if (typeid(floating) != typeid(int)) {\n        cout << \"floating is not of type int\" << endl;\n    }\n    \n    return 0;\n}","using_namespace_std","data_types","typeid,type_info,name,comparison,int,double,string,cout,endl"
"создай программу которая демонстрирует typeid без using namespace std","#include <iostream>\n#include <typeinfo>\n#include <string>\n\nint main() {\n    int integer = 42;\n    double floating = 3.14;\n    std::string text = \"Hello\";\n    \n    std::cout << \"Type of integer: \" << typeid(integer).name() << std::endl;\n    std::cout << \"Type of floating: \" << typeid(floating).name() << std::endl;\n    std::cout << \"Type of text: \" << typeid(text).name() << std::endl;\n    \n    // Сравнение типов\n    if (typeid(integer) == typeid(int)) {\n        std::cout << \"integer is of type int\" << std::endl;\n    }\n    \n    if (typeid(floating) != typeid(int)) {\n        std::cout << \"floating is not of type int\" << std::endl;\n    }\n    \n    return 0;\n}","explicit_std","data_types","typeid,type_info,name,comparison,int,double,std::string,std::cout,std::endl"
#---
