original_line_number,description,length
2448,реализуй класс Footer для футера (footer),25++++++++++++++++++++
2454,реализуй класс для модуля,25+++++++++++++++++++++
2462,реализуй класс для сессии,25---------------------
2471,реализуй класс для буфера,25---------------------
2734,напиши класс BTree для B-дерева,25++++++++++++++++++++++
2753,создай класс для LRU кэша,25---------------------
2888,реализуй класс UserDatabase с применением optional,25+++++++++++++++++++++
2918,создай класс для продукта,25---------------------
2929,напиши класс для скорости,25---------------------
2932,напиши класс для счетчика,25---------------------
2938,напиши класс для описания,25---------------------
2946,реализуй класс для сессии,25---------------------
2949,реализуй класс для пароля,25---------------------
2952,реализуй класс для группы,25---------------------
2957,создай класс для контакта,25---------------------
2388,создай класс Message для сообщения,26+++++++++++++++++++++
2390,напиши класс Parameter для параметра,26+++++++++++++++++++++
2392,реализуй класс для профиля,26---------------------
2401,реализуй класс Team для команды,26++++++++++++++++++++
2406,реализуй класс для события,26---------------------
2412,реализуй класс Status для статуса,26+++++++++++++++++++++
2419,напиши класс Category для категории,26+++++++++++++++++++++
2421,реализуй класс для фильтра,26---------------------
2424,реализуй класс Query для запроса,26++++++++++++++++++++
2427,реализуй класс Table для таблицы,26++++++++++++++++++++
2432,создай класс Document для документа,26++++++++++++++++++++
2447,создай класс Header для заголовка,26++++++++++++++++++++
2477,реализуй класс Server для сервера,26++++++++++++++++++++
2492,реализуй класс Metric для метрики,26++++++++++++++++++++
2499,напиши класс Analytics для аналитики,26++++++++++++++++++++
2616,создай класс ATM для банкомата,26+++++++++++++++++++
2620,реализуй класс Poll для опросов,26++++++++++++++++++++
2668,создай класс для банкомата,26-------------------
2672,реализуй класс для опросов,26-------------------
2826,напиши класс с type traits,26-------------------
2904,напиши класс с conditional,26+++++++++++++++++++
2907,напиши класс с common_type,26+++++++++++++++++++
2916,реализуй класс для времени,26-------------------
2925,реализуй класс для позиции,26-------------------
2926,напиши класс Range для диапазона,26++++++++++++++++++++++
2935,напиши класс для прогресса,26-------------------
2941,напиши класс для настройки,26-------------------
2942,создай класс для параметра,26-------------------
2958,реализуй класс для события,26-------------------
2359,создай класс для автомобиля,27-------------------
2366,реализуй класс Product для продукта,27+++++++++++++++++++++++
2378,реализуй класс Speed для скорости,27+++++++++++++++++++++++
2386,реализуй класс Description для описания,27+++++++++++++++++++++++
2411,создай класс для результата,27+++++++++++++++++++
2422,напиши класс для сортировки,27+++++++++++++++++++
2425,напиши класс для соединения,27+++++++++++++++++++
2441,создай класс для поля ввода,27+++++++++++++++++++
2450,создай класс для контейнера,27+++++++++++++++++++
2457,напиши класс для MAC-адреса,27+++++++++++++++++++
2466,напиши класс APIResponse для ответа API,27+++++++++++++++++++
2469,напиши класс CSVData для CSV данных,27+++++++++++++++++++
2481,напиши класс для шифрования,27++++++++++++++++++++
2487,напиши класс для разрешения,27--------------------
2495,реализуй класс для дашборда,27++++++++++++++++++++
2505,создай класс для кэша с TTL,27++++++++++++++++++++
2655,создай класс AISystem для системы ИИ (искуственный интелект),27++++++++++++++++++++
2707,создай класс для системы ИИ,27--------------------
2732,создай класс для AVL дерева,27--------------------
2797,создай класс FlightTicket для авиабилета,27+++++++++++++++++++++
2853,реализуй класс Any с type erasure для хранения объектов любого типа с поддержкой копирования,27++++++++++++++++++++
2880,напиши класс с напиши класс DataProcessor с применением ranges,27+++++++++++++++++++++++
2882,реализуй класс с span C++20,27++++++++++++++++++++
2883,напиши класс с format C++20,27++++++++++++++++++++
2897,реализуй класс с type_index,27++++++++++++++++++++
2906,реализуй класс с is_base_of,27++++++++++++++++++++
2910,реализуй класс для студента,27---------------------
2912,создай класс для автомобиля,27---------------------
2919,реализуй класс для человека,27---------------------
2922,реализуй класс для телефона,27---------------------
2928,реализуй класс для процента,27---------------------
2950,напиши класс для разрешения,27---------------------
2955,реализуй класс Company для компании,27+++++++++++++++++++
2375,реализуй класс для диапазона,28---------------------
2384,реализуй класс Progress для прогресса,28+++++++++++++++++++
2389,реализуй класс Setting для настройки,28+++++++++++++++++++
2426,создай класс Database для базы данных,28+++++++++++++++++++
2444,создай класс MenuItem для пункта меню,28+++++++++++++++++++
2445,реализуй класс Navigation для навигации,28++++++++++++++++++++
2456,реализуй класс IPAddress для IP-адреса,28++++++++++++++++++++
2467,создай класс JSONData для JSON данных,28++++++++++++++++++++
2480,реализуй класс Protocol для протокола,28++++++++++++++++++++
2484,напиши класс для сертификата,28++++++++++++++++++++
2493,напиши класс Monitoring для мониторинга,28+++++++++++++++++++
2503,создай класс для умного дома,28++++++++++++++++++++
2830,создай класс с PIMPL идиомой,28--------------------
2890,реализуй класс DataMover с использованием move_iterator для эффективного перемещения данных между контейнерами,28++++++++++++++++++++
2940,реализуй класс для сообщения,28---------------------
2956,напиши класс для организации,28---------------------
2391,создай класс Config для конфигурации,29+++++++++++++++++++++
2393,напиши класс User для пользователя,29+++++++++++++++++++++
2398,реализуй класс для разрешения,29+++++++++++++++++++++
2439,реализуй класс для цвета темы,29+++++++++++++++++++++
2468,реализуй класс для XML данных,29+++++++++++++++++++++
2498,реализуй класс для статистики,29+++++++++++++++++++++
2570,создай класс для работы с API,29+++++++++++++++++++++
2575,напиши класс для работы с XML,29+++++++++++++++++++++
2597,создай класс SMSSender для работы с SMS (Short Message Service — служба коротких сообщений),29++++++++++++++++++++
2613,создай класс для треугольника,29---------------------
2654,напиши класс Pathfinding для системы пути,29+++++++++++++++++++++
2665,создай класс для треугольника,29---------------------
2706,напиши класс для системы пути,29---------------------
2746,напиши класс MD5 для работы с MD5 (Message Digest 5 — 128-битный алгоритм хеширования),29+++++++++++++++++++++
2822,реализуй класс Calculator с методами выбрасывающими исключения при ошибочных входных данных,29++++++++++++++++++++++
2829,напиши класс с RAII для файла,29---------------------
2881,реализуй модуль math с классом Calculator и методами для арифметических операций используя C++20 modules,29+++++++++++++++++++++
2889,реализуй класс FileReader с использованием expected из C++23 для обработки операций с файлами и парсинга,29+++++++++++++++++++++
2945,создай класс для пользователя,29----------------------------
733,создай класс с анонимным union,30++++++++++++++++++++++++++++
886,напиши класс ProgressBar для прогресс-бара,30++++++++++++++++++++++
2369,реализуй класс для температуры,30++++++++++++++++++++++++++++
2383,создай класс для переключателя,30----------------------------
2404,реализуй класс Organization для организации,30++++++++++++++++++++++++++++
2409,реализуй класс для уведомления,30++++++++++++++++++++++++++++
2415,реализуй класс Comment для комментария,30++++++++++++++++++++++++++++
2433,реализуй класс для изображения,30++++++++++++++++++++++++++++
2455,создай класс GPS для координат GPS (Global Positioning System - система глобального позиционирования),30++++++++++++++++++++++++++++
2465,реализуй класс APIRequest для запроса API,30+++++++++++++++++++++
2561,создай класс JSONParser для работы с JSON,30+++++++++++++++++++++
2585,создай класс для работы с Word,30++++++++++++++++++++++
2632,реализуй класс ThemeManager для системы тем,30++++++++++++++++++++++
2684,реализуй класс для системы тем,30---------------------
2730,реализуй класс для хэш-таблицы,30---------------------
2759,создай класс FTPProtocol для FTP протокола,30++++++++++++++++++
2832,напиши класс с factory методом,30+++++++++++++++++++++
2839,создай класс с state паттерном,30+++++++++++++++++++++
2856,напиши класс с tag dispatching,30---------------------
2887,создай класс с variant и visit,30+++++++++++++++++++++
2892,напиши класс с insert_iterator,30+++++++++++++++++++++++++++=
1205,реализуй класс StreamProcessor с методами чтения и записи данных используя stream_iterator,30++++++++++++++++++++++
2899,создай класс с aligned_storage,30++++++++++++++++++++++++++++
922,напиши класс для простого таска,31++++++++++++++++++++++++++++
2361,напиши класс для прямоугольника,31----------------------------
2459,реализуй класс EmailAddress для email адреса,31++++++++++++++++++
2464,создай класс HTTPHeader для заголовка HTTP,31++++++++++++++++++
2502,напиши класс IoTDevice для устройства IoT,31++++++++++++++++++
2521,реализуй класс для пула потоков,31----------------------------
2546,напиши класс CRC32 для работы с CRC32 (Cyclic redundancy check - циклический избыточный код),31+++++++++++++++++++++++++++
2574,реализуй класс для работы с URL,31++++++++++++++++++++++++++++
2581,напиши класс VideoProcessor для работы с видео,31++++++++++++++++++
2583,реализуй класс для работы с PDF,31++++++++++++++++++++++++++++
2584,напиши класс ExcelHandler для работы с Excel,31++++++++++++++++++
2596,напиши класс для работы с email,31++++++++++++++++++++++
2599,напиши класс для работы с чатом,31----------------------
2614,реализуй класс для калькулятора,31++++++++++++++++++++++
2622,создай класс для системы лайков,31++++++++++++++++++++++
2652,создай класс для системы физики,31++++++++++++++++++++++
2660,напиши класс для системы отката,31++++++++++++++++++++++
2666,реализуй класс для калькулятора,31----------------------
2674,создай класс для системы лайков,31----------------------
2704,создай класс для системы физики,31----------------------
2712,напиши класс для системы отката,31----------------------
2735,создай класс Heap для работы с кучей (heap),31++++++++++++++++++++++
2737,напиши класс для работы с трием,31----------------------
2752,напиши класс для работы с кэшем,31++++++++++++++++++++++
2756,создай класс для работы с сетью,31++++++++++++++++++++++
2758,напиши класс HTTPProtocol для HTTP протокола,31++++++++++++++++++++++++++++
2799,напиши класс для фитнес-трекера,31++++++++++++++++++++++
2878,создай класс с корутинами C++20,31++++++++++++++++++++++
2885,реализуй класс с bit_cast C++20,31++++++++++++++++++++++
2901,напиши класс с integer_sequence,31++++++++++++++++++++++++++++
2943,реализуй класс для конфигурации,31----------------------------
664,реализуй класс для очереди строк,32++++++++++++++++++++++++++++
727,реализуй класс с битовыми полями,32++++++++++++++++++++++++++++
859,создай класс для простого заказа,32++++++++++++++++++++++++++++
2470,создай класс BinaryData для бинарных данных,32++++++++++++++++++++++
2504,реализуй класс для автоматизации,32++++++++++++++++++++++++++++
2507,напиши класс для пула соединений,32++++++++++++++++++++++++++++
2510,напиши класс для валидации email,32++++++++++++++++++++++++++++
2526,создай класс для работы с весами,32++++++++++++++++++++++++++++
2625,создай класс для системы истории,32++++++++++++++++++++++++++++
2637,создай класс для системы доступа,32+++++++++++++++++
2642,напиши класс для системы уровней,32+++++++++++++++++
2646,создай класс для системы квестов,32+++++++++++++++++
2658,создай класс для системы событий,32+++++++++++++++++
2661,создай класс для системы повтора,32+++++++++++++++++
2677,создай класс для системы истории,32-----------------
2689,создай класс для системы доступа,32-----------------
2694,напиши класс для системы уровней,32-----------------
2698,создай класс для системы квестов,32-----------------
2710,создай класс для системы событий,32-----------------
2713,создай класс для системы повтора,32-----------------
2726,создай класс BFS для поиска в ширину,32++++++++++++++++++
2790,напиши класс для корзины покупок,32+++++++++++++++++
2800,создай класс для погодных данных,32+++++++++++++++++
2813,реализуй класс Buffer для управления памятью с move конструктором и move оператором присваивания,32++++++++++++++
2835,напиши класс с adapter паттерном,32-----------------
2840,реализуй класс с proxy паттерном,32-----------------
2841,напиши класс с visitor паттерном,32+++++++++++++++++
2845,создай класс с memento паттерном,32+++++++++++++++++
2886,напиши класс с atomic shared_ptr,32+++++++++++++++++
2894,реализуй класс с bind и function,32+++++++++++++++++
2896,создай класс с reference_wrapper,32+++++++++++++++++
2902,создай класс с void_t для SFINAE,32++++++++++++++++++++
2934,реализуй класс для переключателя,32--------------------
760,напиши класс Circle для круга с методами вычисления площади,33+++++++++++++++++++++
772,реализуй класс для дробного числа,33++++++++++++++++++++++++++++
862,реализуй класс для битового флага,33++++++++++++++++++++++++++++
868,создай класс для простого события,33++++++++++++++++++++
874,напиши класс для простого профиля,33++++++++++++++++++++
2316,напиши класс Filter для простого фильтра,33+++++++++++++++++++
2408,создай класс CartItem для товара в корзине,33++++++++++++++++++++
2486,реализуй класс AccessToken для токена доступа,33++++++++++++++++++++
2513,напиши класс для шифрования строк,33++++++++++++++++++++
2517,создай класс PasswordValidator для проверки введенного пароля,33
2536,реализуй класс для работы с трием,33++++++++++++++++++++
2559,реализуй класс для работы с сетью,33--------------------
2563,напиши класс для обработки ошибок,33++++++++++++++++++++
2565,реализуй класс для аутентификации,33++++++++++++++++++++
2571,реализуй класс для валидации форм,33++++++++++++++++++++
2572,напиши класс CookieManager для работы с куки (cookies),33++++++++++++++++++++
2580,реализуй класс AudioProcessor для работы с аудио,33+++++++++++++++++++
2611,реализуй класс для прямоугольника,33----------------------
2624,напиши класс для системы закладок,33++++++++++++++++++++++
2626,реализуй класс для системы поиска,33++++++++++++++++++++++
2633,напиши класс для системы настроек,33++++++++++++++++++++++
2638,реализуй класс AuditSystem для системы аудита,33+++++++++++++++++
2644,реализуй класс для системы крафта,33++++++++++++++++++++++
2645,напиши класс для системы торговли,33-----------------
2649,создай класс для системы загрузки,33+++++++++++++++++
2650,реализуй класс для системы частиц,33+++++++++++++++++
2651,напиши класс для системы анимации,33+++++++++++++++++
2659,реализуй класс CommandSystem для системы команд,33+++++++++++++++++++
2663,реализуй класс для прямоугольника,33-----------------
2676,напиши класс для системы закладок,33-----------------
2678,реализуй класс для системы поиска,33-----------------
2685,напиши класс для системы настроек,33-----------------
2690,реализуй класс для системы аудита,33-----------------
2696,реализуй класс для системы крафта,33-----------------
2697,напиши класс для системы торговли,33+++++++++++++++++
2701,создай класс для системы загрузки,33-----------------
2702,реализуй класс для системы частиц,33-----------------
2703,напиши класс для системы анимации,33-----------------
2711,реализуй класс для системы команд,33-----------------
2723,создай класс для работы с графами,33+++++++++++++++++
2725,напиши класс DFS для поиска в глубину,33+++++++++++++++++
2729,создай класс BinarySearch для двоичного поиска,33++++++++++++++++++
2745,реализуй класс для работы с CRC32,33-----------------
2747,создай класс для работы с SHA-256,33+++++++++++++++++
2784,напиши класс ChatMessage для сообщения в чате,33++++++++++++++++
2823,напиши класс с умными указателями,33+++++++++++++++++
2838,напиши класс с iterator паттерном,33+++++++++++++++++
2843,реализуй класс с bridge паттерном,33+++++++++++++++++
2847,напиши класс с mediator паттерном,33+++++++++++++++++
2876,реализуй класс с атрибутами C++11,33+++++++++++++++++
2879,реализуй класс с концептами C++20,33-----------------
2891,реализуй класс с reverse_iterator,33+++++++++++++++++
2913,реализуй класс для прямоугольника,33----------------------------
730,напиши класс с union внутри класса,34++++++++++++++++++++++++++++
805,реализуй класс Range для диапазона чисел,34+++++++++++++++++++
844,реализуй класс Angle для угла в градусах,34+++++++++++++++++
916,создай класс для хранения контакта,34++++++++++++++++++++++++++++
917,создай класс для хранения контакта,34++++++++++++++++++++++++++++
1543,напиши класс для банковского счета,34-------------------
1559,реализуй демонстрацию move семантики с векторами для передачи владения данными,34+++++++++++++++++++++
2321,реализуй класс Buffer для простого буфера,34++++++++++++++++++
2362,создай класс для банковского счета,34-------------------
2488,создай класс UserRole для роли пользователя,34+++++++++++++++++++
2500,создай класс для данных телеметрии,34+++++++++++++++++++
2512,реализуй класс для работы с датами,34+++++++++++++++++++
2518,реализуй класс для форматера чисел,34+++++++++++++++++++
2528,напиши класс для работы со стеками,34+++++++++++++++++++
2560,напиши класс для шифрования данных,34+++++++++++++++++++
2566,напиши класс SessionManager для работы с сессиями,34++++++++++++++++++
2568,реализуй класс Logger для работы с логами (logs),34++++++++++++++++++
2576,ссоздай класс SocketWrapper для работы с сокетами (sockets),34++++++++++++++++++
2578,напиши класс ArchiveHandler для работы с архивами,34++++++++++++++++++
2593,напиши класс AlertSystem для работы с алертами (alerts),34++++++++++++++++++
2605,напиши класс для работы с задачами,34+++++++++++++++++++
2608,напиши класс для работы с отделами,34+++++++++++++++++++
2617,реализуй класс для кредитной карты,34+++++++++++++++++++
2630,напиши класс для системы пагинации,34+++++++++++++++++++
2631,создай класс для системы навигации,34+++++++++++++++++++
2640,создай класс ProgressTracker для системы прогресса,34+++++++++++++
2643,создай класс для системы инвентаря,34+++++++++++++++++++
2657,напиши класс для системы состояний,34++++++++++++++++++
2669,реализуй класс для кредитной карты,34------------------
2682,напиши класс для системы пагинации,34------------------
2683,создай класс для системы навигации,34------------------
2692,создай класс для системы прогресса,34------------------
2695,создай класс для системы инвентаря,34------------------
2709,напиши класс для системы состояний,34------------------
2761,напиши класс для работы с потоками,34++++++++++++++++++
2778,напиши класс для электронной почты,34++++++++++++++++++
2802,напиши класс для компьютерной игры,34++++++++++++++++++
2833,создай класс с singleton паттерном,34++++++++++++++++++
2836,создай класс с decorator паттерном,34++++++++++++++++++
2837,реализуй класс с command паттерном,34++++++++++++++++++
2844,напиши класс с composite паттерном,34++++++++++++++++++
2851,создай класс с lazy initialization,34++++++++++++++++++
2854,создай класс с policy-based design,34++++++++++++++++++
2877,напиши класс с structured bindings,34++++++++++++++++++
2915,создай класс для банковского счета,34-------------------
2963,создай класс для lock-free очереди,34++++++++++++++++++++++++++++
790,реализуй класс для простого таймера,35++++++++++++++++++++++++++++
796,создай класс для комплексного числа,35++++++++++++++++++++++++++++
847,напиши класс для представления веса,35++++++++++++++++++++++++++++
850,создай класс для простого сообщения,35++++++++++++++++++++++++++++
877,реализуй класс Sensor для простого сенсора,35+++++++++++++++++++++
910,реализуй класс для простого запроса,35++++++++++++++++++++++++++++
2483,реализуй класс CryptoKey для ключа шифрования,35++++++++++++++++++++
2515,реализуй класс FileManager для работы с файлами,35+++++++++++++++++++++++++++
2529,создай класс Queue для работы с очередями,35+++++++++++++++++++++
2530,реализуй класс для работы с графами,35+++++++++++++++++++++
2531,напиши класс для работы с деревьями,35+++++++++++++++++++++
2535,создай класс LRUCache для работы с LRU кэшем,35+++++++++++++++++++
2539,реализуй класс для работы с дробями,35---------------------
2541,создай класс для работы с векторами,35---------------------
2556,реализуй класс для валидации данных,35+++++++++++++++++++++
2587,напиши класс ChartGenerator для работы с графиками,35++++++++++++++++++++
2591,создай класс MetricsCollector для работы с метриками,35++++++++++++++++++++
2606,создай класс Project для работы с проектами,35++++++++++++++++++++
2623,реализуй класс RatingSystem для системы рейтинга,35++++++++++++++++++++
2628,создай класс FilterSystem для системы фильтрации,35++++++++++++++++++++
2634,создай класс для системы обновлений,35++++++++++++++++++++
2647,реализуй класс для системы диалогов,35++++++++++++++++++++
2648,напиши класс для системы сохранения,35++++++++++++++++++++
2675,реализуй класс для системы рейтинга,35--------------------
2680,создай класс для системы фильтрации,35--------------------
2686,создай класс для системы обновлений,35--------------------
2699,реализуй класс для системы диалогов,35--------------------
2700,напиши класс для системы сохранения,35--------------------
2714,создай класс для работы с матрицами,35--------------------
2728,напиши класс для быстрой сортировки,35++++++++++++++++++++
2754,реализуй класс для работы с памятью,35++++++++++++++++++++
2777,реализуй класс CreditCard для банковской карты,35+++++++++++++++++++++
2793,напиши класс Movie для фильма с рейтингом,35+++++++++++++++++++++
2794,создай класс для спортивного игрока,35++++++++++++++++++++
2796,напиши класс для товара на аукционе,35++++++++++++++++++++
2803,создай класс для ресторанного блюда,35++++++++++++++++++++
2821,создай класс с статическими членами,35++++++++++++++++++++
2828,реализуй класс с perfect forwarding,35++++++++++++++++++++
2831,реализуй класс с observer паттерном,35++++++++++++++++++++
2834,реализуй класс с strategy паттерном,35++++++++++++++++++++
661,реализуй класс для стека целых чисел,36++++++++++++++++++++++++++++
799,напиши класс для рационального числа,36++++++++++++++++++++++++++++
871,реализуй класс для единицы измерения,36++++++++++++++++++++++++++++
883,реализуй класс для хранения настроек,36++++++++++++++++++++++++++++
2511,создай класс JSONSerializer для сериализации в JSON,36+++++++++++++++++++++
2514,создай класс для подсчета статистики,36++++++++++++++++++++++++++++
2537,напиши класс для работы с union-find,36++++++++++++++++++++++++++++
2540,напиши класс для работы с полиномами,36++++++++++++++++++++++++++++
2577,реализуй класс для работы с потоками,36++++++++++++++++++++++++++++
2589,реализуй класс ReportGenerator для работы с отчетами,36++++++++++++++++++++
2590,напиши класс Analytics для работы с аналитикой,36++++++++++++++++++++
2594,создай класс для работы с дашбордами,36+++++++++++++++++++++++
2603,создай класс для работы с календарем,36+++++++++++++++++++++++
2609,создай класс Company для работы с компаниями,36+++++++++++++++++++
2619,создай класс VotingSystem для системы голосования,36+++++++++++++++++++++++
2639,напиши класс для системы нотификации,36+++++++++++++++++++++++
2656,реализуй класс для системы поведения,36+++++++++++++++++++++++
2671,создай класс для системы голосования,36-----------------------
2691,напиши класс для системы нотификации,36-----------------------
2708,реализуй класс для системы поведения,36-----------------------
2715,реализуй класс для комплексных чисел,36-----------------------
2716,напиши класс для работы с полиномами,36-----------------------
2722,напиши класс для k-ближайших соседей,36+++++++++++++++++++++++
2760,реализуй класс для работы с сокетами,36-----------------------
2762,создай класс для работы с процессами,36+++++++++++++++++++++++
2773,создай класс Product для продукта в магазине и работы с ним,36+++++++++++++++++++++++
2846,реализуй класс с flyweight паттерном,36+++++++++++++++++++++++
2850,напиши класс с object pool паттерном,36+++++++++++++++++++++++
2857,создай класс с copy-and-swap идиомой,36+++++++++++++++++++++++
2859,напиши класс с thread-safe singleton,36-----------------------
2884,создай класс с source_location C++20,36+++++++++++++++++++++++
2903,реализуй класс с is_detected идиомой,36+++++++++++++++++++++++
808,реализуй класс Logger с статическим методом для вывода сообщений в консоль,37++++++++++++++++++++
811,реализуй класс для телефонного номера,37++++++++++++++++++++++++++++
889,создай класс для простого уведомления,37++++++++++++++++++++++++++++
1004,создай класс для представления валюты,37++++++++++++++++++++++++++++
1549,создай программу с шаблонной функцией,37++++++++++++++++++++++++++++
1551,создай программу с пространством имен,37++++++++++++++++++++++++++++
1560,создай программу с perfect forwarding,37++++++++++++++++++++++++++++
1561,напиши программу с variadic templates,37++++++++++++++++++++++++++++
1575,создай программу с coroutine на C++20,37++++++++++++++++++++++++++++
2336,реализуй класс для простого шифратора,37++++++++++++++++++++++++++++
2525,напиши класс GeoLocation для работы с геолокацией,37++++++++++++++++++
2527,реализуй класс для работы с матрицами,37+++++++++++++++++++
2551,реализуй класс Parser для работы с парсерами,37+++++++++++++++++++
2555,создай класс CSVHandler для работы с CSV файлами,37+++++++++++++++++
2567,создай класс для кэширования запросов,37+++++++++++++++++++
2582,создай класс DocumentProcessor для работы с документами,37++++++++++++++++
2588,создай класс DiagramGenerator для работы с диаграммами,37++++++++++++++++
2607,реализуй класс Team который работает с командами,37++++++++++++++++
2618,напиши класс для банковского перевода,37+++++++++++++++++++
